TIME_SINCE_START	COUNT_RATE	ERR
29145	3.363137254901961E+01	1.837478170877302E+00
29155	2.911372549019608E+01	1.709616827324376E+00
29165	3.092078431372549E+01	1.761875202488144E+00
29175	3.021803921568628E+01	1.741738824573236E+00
29185	3.242666666666667E+01	1.804267997426088E+00
29195	3.202509803921568E+01	1.793061255478388E+00
29205	3.142274509803921E+01	1.776118564437748E+00
29215	3.051921568627451E+01	1.750397065955157E+00
29225	3.051921568627451E+01	1.750397065955157E+00
29235	3.162352941176471E+01	1.781784028792355E+00
29245	2.921411764705882E+01	1.712561905867995E+00
29255	3.413333333333333E+01	1.851139906719199E+00
29265	3.272784313725490E+01	1.812627585030806E+00
29275	3.182431372549020E+01	1.787431535913648E+00
29285	3.072000000000000E+01	1.756145511859290E+00
29295	2.911372549019608E+01	1.709616827324376E+00
29305	2.760784313725490E+01	1.664815581041142E+00
29315	3.353098039215686E+01	1.834733616438921E+00
29325	3.584000000000000E+01	1.896853948505468E+00
29335	3.202509803921568E+01	1.793061255478388E+00
29345	3.132235294117647E+01	1.773279044533278E+00
29355	3.292862745098039E+01	1.818179290480925E+00
29365	3.222588235294118E+01	1.798673354507938E+00
29375	3.142274509803921E+01	1.776118564437748E+00
29385	3.112156862745098E+01	1.767586320229297E+00
29395	3.102117647058823E+01	1.764733071685968E+00
29405	3.202509803921568E+01	1.793061255478388E+00
29415	3.122196078431373E+01	1.770434970458192E+00
29425	2.901333333333333E+01	1.706666666666667E+00
29435	3.152313725490196E+01	1.778953551979354E+00
29445	3.252705882352941E+01	1.807058823529412E+00
29455	3.493647058823530E+01	1.872791402031950E+00
29465	3.001725490196078E+01	1.735942672644074E+00
29475	2.891294117647059E+01	1.703711397494176E+00
29485	2.760784313725490E+01	1.664815581041142E+00
29495	3.262745098039215E+01	1.809845346115257E+00
29505	3.282823529411765E+01	1.815405559971150E+00
29515	3.322980392156862E+01	1.826475208649814E+00
29525	3.082039215686275E+01	1.759012690114282E+00
29535	3.082039215686275E+01	1.759012690114282E+00
29545	3.162352941176471E+01	1.781784028792355E+00
29555	2.961568627450981E+01	1.724291919040519E+00
29565	3.142274509803921E+01	1.776118564437748E+00
29575	2.991686274509804E+01	1.733037327222670E+00
